"project","phase","task_id","task_title","status","branch","commit","pull_request","learn_gate","coding_gate","tests","review_status","environment","artifact_links","blocker","next_action","updated_date"
"P1","0","P1-00","Kickoff, baseline assessment and delivery charter","IN_REVIEW","docs/p1-00-charter","c52cb1f","https://github.com/DeepData07/project-1/pull/1","OPEN","OPEN","N/A docs-only","PR_REVIEWED","LOCAL","docs/project-charter.md; docs/skill-baseline.md; https://github.com/DeepData07/project-1/pull/1","","Update PR body with required review sections, then merge after approval","2026-07-26"
"P1","0","P1-01","Local toolchain and account safety check","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","1","P1-02","Product requirements and acceptance scenarios","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","1","P1-03","NFRs, capacity model and cost envelope","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","1","P1-04","Architecture context, containers and ADR backlog","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","2","P1-05","uv workspace and source-layout scaffold","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","2","P1-06","Quality gates and pull-request CI","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","3","P1-07","Data inventory, licensing and pilot corpus","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","3","P1-08","Data profiling and quality report","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","3","P1-09","Canonical content and metadata contract","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","4","P1-10","Relational domain schema and migrations","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","4","P1-11","pgvector exact search and index experiments","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","5","P1-12","Ingestion state machine and idempotency design","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","5","P1-13","Parsers, normalization and deterministic cleaning","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","5","P1-14","Chunking laboratory and selection","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","5","P1-15","Embedding pipeline and versioned indexing","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","6","P1-16","Naive dense RAG","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","6","P1-17","Golden evaluation set and baseline report","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","7","P1-18","OpenSearch lexical and vector retrieval","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","7","P1-19","Hybrid fusion and reranking","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","7","P1-20","Query rewriting, multi-query and corrective retrieval","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","7","P1-21","Hierarchical retrieval and GraphRAG decision","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","8","P1-22","Learning policy and hint-level state machine","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","8","P1-23","Hint generation and leakage evaluation","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","8","P1-24","Concept explanation and prerequisite graph","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","8","P1-25","Student profile, mastery and memory privacy","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","9","P1-26","Code-debugging workflow without execution","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","9","P1-27","Sandboxed code execution and test loop","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","9","P1-28","Video ingestion, multimodal embeddings and timestamp retrieval","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","10","P1-29","Stateful supervisor graph","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","10","P1-30","MCP tool contracts and AgentCore Gateway","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","10","P1-31","Human-in-the-loop approval and instructor escalation","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","11","P1-32","FastAPI service boundary, identity and authorization","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","11","P1-33","Streaming RAG and feedback APIs","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","11","P1-34","Domain UI integration checkpoints","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","12","P1-35","Guardrails, prompt-injection defense and policy tests","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","12","P1-36","OpenTelemetry traces, metrics, logs and cost accounting","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","12","P1-37","CDK infrastructure and environment deployment","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","12","P1-38","Load, resilience and failure-injection testing","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","13","P1-39","Staging qualification and release candidate","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","13","P1-40","Production canary and rollback drill","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","13","P1-41","Maintenance, model/index refresh and incident runbooks","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P1","13","P1-42","Interview package and architecture defense","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","0","P2-00","Kickoff and quality failure taxonomy","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","0","P2-01","Success metrics, budget and experiment governance","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","1","P2-02","uv workspace and training repository scaffold","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","1","P2-03","ML-oriented CI, image build and security gates","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","2","P2-04","Feedback and trace event contracts","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","2","P2-05","Dataset schemas for SFT, preferences, rewards and embeddings","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","2","P2-06","Data licensing, lineage and dataset cards","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","3","P2-07","Acquire small approved starter datasets","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","3","P2-08","Text/data EDA and quality diagnosis","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","3","P2-09","Cleaning, PII, deduplication and contamination","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","3","P2-10","Split strategy and frozen golden test set","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","4","P2-11","Prompt and structured-output baselines","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
